term,gene
TRNA-CHARGING-PWY,FEK30_RS04960
TRNA-CHARGING-PWY,FEK30_RS02240
TRNA-CHARGING-PWY,FEK30_RS06280
TRNA-CHARGING-PWY,FEK30_RS14830
TRNA-CHARGING-PWY,FEK30_RS07215
TRNA-CHARGING-PWY,FEK30_RS08850
TRNA-CHARGING-PWY,FEK30_RS14935
TRNA-CHARGING-PWY,FEK30_RS12270
TRNA-CHARGING-PWY,FEK30_RS06495
TRNA-CHARGING-PWY,FEK30_RS08040
TRNA-CHARGING-PWY,FEK30_RS10505
TRNA-CHARGING-PWY,FEK30_RS09640
TRNA-CHARGING-PWY,FEK30_RS13335
TRNA-CHARGING-PWY,FEK30_RS14650
TRNA-CHARGING-PWY,FEK30_RS09880
TRNA-CHARGING-PWY,FEK30_RS15410
TRNA-CHARGING-PWY,FEK30_RS14710
TRNA-CHARGING-PWY,FEK30_RS04725
CHLOROPHYLL-SYN,FEK30_RS07300
CHLOROPHYLL-SYN,FEK30_RS08210
CHLOROPHYLL-SYN,FEK30_RS15565
CHLOROPHYLL-SYN,FEK30_RS09380
CHLOROPHYLL-SYN,FEK30_RS09270
CHLOROPHYLL-SYN,FEK30_RS07070
CHLOROPHYLL-SYN,FEK30_RS08645
CHLOROPHYLL-SYN,FEK30_RS13580
CHLOROPHYLL-SYN,FEK30_RS14265
CHLOROPHYLL-SYN,FEK30_RS07635
CHLOROPHYLL-SYN,FEK30_RS05120
OXIDATIVEPENT-PWY,FEK30_RS08750
OXIDATIVEPENT-PWY,FEK30_RS05170
OXIDATIVEPENT-PWY,FEK30_RS11510
PWY-5849,FEK30_RS08860
ILEUSYN-PWY,FEK30_RS07360
ILEUSYN-PWY,FEK30_RS13755
ILEUSYN-PWY,FEK30_RS10565
ILEUSYN-PWY,FEK30_RS03655
ILEUSYN-PWY,FEK30_RS03175
ILEUSYN-PWY,FEK30_RS03500
ILEUSYN-PWY,FEK30_RS12365
PWY-8362,FEK30_RS13440
PWY-8362,FEK30_RS13420
PWY-8362,FEK30_RS12845
PWY-8362,FEK30_RS05830
PWY-8362,FEK30_RS01715
PWY-8362,FEK30_RS03940
PWY-8362,FEK30_RS04160
PWY-8362,FEK30_RS15390
PWY-6543,FEK30_RS13145
PWY-7029,FEK30_RS09970
PWY-6163,FEK30_RS14975
PWY-6163,FEK30_RS04890
PWY-6163,FEK30_RS02205
PWY-6163,FEK30_RS12990
PWY-6163,FEK30_RS02250
PWY-5785,FEK30_RS04545
PWY-5785,FEK30_RS05365
PWY-7185,FEK30_RS11295
PWY-7185,FEK30_RS04790
PWY-7185,FEK30_RS04335
PWY-5296,FEK30_RS05955
PWY-7159,FEK30_RS07300
PWY-7159,FEK30_RS08210
PWY-7159,FEK30_RS15565
PWY-7159,FEK30_RS09380
PWY-7159,FEK30_RS09270
PWY-7159,FEK30_RS07070
PWY-7159,FEK30_RS08645
PWY-7159,FEK30_RS13580
PWY-7159,FEK30_RS14265
PWY-7159,FEK30_RS07635
PWY-7159,FEK30_RS01290
PWY-7159,FEK30_RS12600
PWY-7159,FEK30_RS01275
HISTSYN-PWY,FEK30_RS14520
HISTSYN-PWY,FEK30_RS06640
HISTSYN-PWY,FEK30_RS14235
HISTSYN-PWY,FEK30_RS12455
HISTSYN-PWY,FEK30_RS02260
HISTSYN-PWY,FEK30_RS13780
HISTSYN-PWY,FEK30_RS06515
HISTSYN-PWY,FEK30_RS07190
HISTSYN-PWY,FEK30_RS07195
PWY-7663,FEK30_RS09360
PWY-7663,FEK30_RS09245
PWY-7663,FEK30_RS06715
PWY-7663,FEK30_RS01395
PWY-7663,FEK30_RS04395
PWY-7663,FEK30_RS12725
PWY-7970,FEK30_RS03575
PWY-5097,FEK30_RS10510
PWY-5097,FEK30_RS10550
PWY-5097,FEK30_RS10545
PWY-5097,FEK30_RS10135
PWY-5097,FEK30_RS05520
PWY-5097,FEK30_RS12485
PWY-5097,FEK30_RS04535
