"","U49","U50","U51","U52","U53","U54","U55","U56","U57","U58","U59","U60"
"FEK30_RS09850",1897.69355152035,1823.10090289563,1885.93083753317,2466.19154453075,2306.59997697322,2081.10336868164,1626.07396962467,1811.71374207389,1766.50550429306,1720.5524085391,1759.29984096334,1913.17376266863
"FEK30_RS09855",281.989301292394,301.587056457059,238.964800744859,571.918414482333,661.85944356448,711.463029312215,330.63504049035,325.342960724537,298.495389922096,829.353833793499,716.690199863136,759.066381946172
"FEK30_RS09860",307.624692318976,351.613345442827,309.450821108451,427.561358033035,569.119856861433,540.751373180436,353.219401179582,366.352577622588,338.457887479972,556.602668568869,540.427644908397,558.281080915249
"FEK30_RS09865",663.821704477789,604.603435456568,476.210430261339,701.949961512998,658.688859403692,747.973614727683,448.977090501923,505.785275075962,460.792063677552,832.52535897053,868.009940437487,840.686423015653
"FEK30_RS09870",649.654777857836,567.441049352855,575.922361507395,479.353584392707,491.440544922129,452.928613667555,914.214920700093,771.892122503314,727.480567788277,415.469798191007,448.970658846976,354.230978241547
"FEK30_RS09875",117.383106279609,112.201819582366,156.444581782606,245.737584642698,290.108450712095,378.920670257823,65.9463332125561,109.358978394803,106.02295270457,445.599287372798,400.747884378227,385.246593847949
"FEK30_RS09885",122.105415152927,121.492416108294,122.92074282919,266.674867639161,307.546663596429,373.986807363841,130.989291997543,127.585474793936,146.801011437096,539.1592800952,527.124810572191,475.028639024378
"FEK30_RS09890",177.423890526076,152.22285077098,141.831626341373,179.619848864394,179.930651124715,160.843930343816,93.047566039634,102.979704655106,108.469636228521,258.479301927993,221.159620839436,226.903714173157
"FEK30_RS09895",241.512368092529,328.744184763619,438.388663236972,988.46014988565,1026.47662205509,1026.24348194827,402.904994695891,390.958347761419,537.454814094703,670.77757494197,650.176028182103,630.106717056392
"FEK30_RS09900",751.521726410831,951.928813272044,1328.91935953796,5924.14912573607,6009.04963073332,5927.54288083007,1689.31017955452,1870.03853055112,2041.34962015029,3560.03701121684,3450.42265595361,3689.22585634053
"FEK30_RS09905",1239.94338702254,1730.19493763635,2343.23038428233,15500.2011909605,17890.8137732861,16836.3137394244,3882.70328969269,3823.0076197183,4019.90102985249,10134.6087032013,10013.7085465796,10775.4778219929
"FEK30_RS09910",1139.42566957621,1411.45601066988,1727.76708452218,12608.6522129226,12981.9568463462,12286.3053785942,3320.80439574461,3053.84947167486,3090.16129075088,12467.2654709073,12007.4708427186,11366.4069193359
"FEK30_RS09915",1707.45196548098,2134.69321714985,2636.34907872116,31958.0075884434,33241.989633781,31589.5505650096,4897.19277185297,4729.77581557521,4813.44205278746,27990.2954498835,27959.2320661224,27362.3025681328
"FEK30_RS09920",705.647868784317,733.242464277115,866.462299103663,8239.3718402397,8929.157642819,8762.54049971217,1609.81322992843,1531.93702234719,1455.7766967512,6758.52015225219,6648.0914595193,7146.65079604374
"FEK30_RS09925",58.0169375864735,57.1729016980206,53.2943080797888,94.7687546155696,96.7028169040317,81.9021240401025,51.4923423714479,66.5267118568382,52.1959151776342,98.3172804879483,88.1312774773694,89.7820451764289
"FEK30_RS09935",111.98618185296,95.0499490729593,75.6435340487325,39.6706414669826,30.1205495274853,36.5105854154674,77.6902007709566,102.068379835149,80.740556290403,26.95796400476,46.5599201767235,22.8536114994546
"FEK30_RS09940",433.777800791889,509.553486383609,634.374183272325,900.303168847911,823.559235764664,803.232879140282,653.139711132577,567.755362833016,643.477766799272,949.871790520662,969.444052251063,974.543290369601
"FEK30_RS09945",713.74325542429,694.650755630951,712.596474163627,2932.3215817678,2815.47873477968,3010.64313790786,1083.14593865555,1093.58978394803,950.944329642524,2944.7611268729,2565.78417259587,2711.41776432815
"FEK30_RS09950",1167.08490726278,1235.64933794847,1218.89240092162,2844.16460073006,2729.8729624384,2729.41295295088,1670.33931657557,1633.09407736238,1627.86010460247,2941.58960169587,2976.50918272625,2925.26227193019
"FEK30_RS09955",1268.95185581577,1335.70191592001,1126.91674020328,1702.53169629134,1641.56994924795,1758.42873541521,1129.21803446158,1145.53529868556,1201.32161026024,1975.86018529006,2103.51067941268,1939.29217581086
"FEK30_RS09960",910.056381443636,1027.68290802192,1246.39914057571,759.251999187528,813.254837242103,746.00006957009,1305.37604783758,1367.89855475499,1323.65578645782,721.521977774459,720.015908447188,827.627216444536
"FEK30_RS09965",19973.3426874735,24470.7165880241,28991.2440097909,22755.5207303664,22586.448915413,21015.2956106273,31266.6923125997,30619.6026257247,31862.3439712471,20029.7672555367,21186.4265347012,21026.9549803196
"FEK30_RS09970",14546.0605609249,14343.2517134909,16071.6722285131,10274.6961399485,10847.3610600957,9328.94795994131,13428.6608658171,13296.2291231681,13229.2178140063,6352.56492959227,6924.12527199559,7118.89998208012
"FEK30_RS09975",1346.53264444885,1500.78866957304,1596.25048555109,5316.96791883864,4992.87740720079,4816.4369571053,1809.45897842123,1819.00434063355,1830.1192759158,5396.35008871755,5204.73393404087,5024.52972823724
"FEK30_RS09980",807.514817337311,869.742767081139,928.352463325353,2427.62286532674,2320.07495965656,2276.48433928333,899.760929858985,861.20195485907,921.584127355104,2475.37540067238,2392.84732622518,2363.71638937216
"FEK30_RS09985",3607.84397921465,3900.62121834746,4331.45190990412,13979.4932680595,12872.571692799,11914.2921163879,5466.31866122161,5498.0226387987,5420.21956672746,13742.2185920736,14109.3186678392,14312.8904019442
"FEK30_RS09990",3391.29238659537,4048.55610149109,4547.20789906585,3052.43546843172,3134.91508897906,2848.81243498525,5006.50107758885,4713.37196881599,5049.13923226146,2608.57945810766,2582.41271551613,2685.29935118592
"FEK30_RS09995",1138.75105402287,1289.24893329037,1502.55565360437,2327.34429939631,2270.13825912415,1911.37848512866,1726.34853108486,1701.44343885914,1791.78790070723,1658.707667587,1664.51714631786,1766.25768874357
"FEK30_RS10000",3116.72385638962,3812.00322071553,4583.31049486184,12676.9738732269,13643.8162899106,12356.3662316887,8502.5601122819,7368.06116934982,6843.37381649264,11268.4289539897,10959.8726387423,11576.9866252952
"FEK30_RS10005",422.30933638526,545.286549944872,805.431720496163,17201.6309249889,18785.7111526685,19006.2266401978,3442.75994346646,2523.45842646007,2095.17665767722,22668.4762028261,20827.2500076236,21787.6537630872
"FEK30_RS10010",6597.0654960247,7080.86387529986,8031.96797899268,18019.2869241139,18937.1065463461,18595.7292474184,14079.090453667,13255.21950627,12119.2390553069,42010.0224949472,41084.1409930824,39631.4271416971
"FEK30_RS10015",3079.62000095641,3383.20645798037,3961.83009580236,35249.56886794,36682.0734482359,38515.7072955817,10770.0299254807,9617.21082500292,7994.94619509919,40933.2896973453,38682.9793953971,39535.1154932351
"FEK30_RS10020",1671.0227256011,1624.42506949501,1561.0074753693,473.843773077848,444.674428550507,396.682576676159,1306.27942226515,1340.55881015629,1400.31853687497,407.540985248431,369.153652829736,372.187387276833
"FEK30_RS10025",864.182523817122,809.711220298217,728.06901521905,197.251245071941,186.271819446291,156.89684002863,495.952560735525,544.060917514142,584.757362224434,177.605409913713,171.273992078661,207.314904316481
"FEK30_RS10030",68.8107864397708,84.3300300045805,90.2564894899649,238.023848801896,263.158485345398,295.045001060128,156.283775969482,141.255347093287,128.858665594785,253.722014162447,292.662355396547,248.124924851222
"FEK30_RS10035",195.638510466015,165.80141492426,172.776708452218,441.886867451667,484.306730560356,484.50533618904,289.983191249733,248.791675848176,252.008402967015,550.259618214807,493.867724731674,471.763837381599
"FEK30_RS10040",391.27702093203,503.836196213807,621.480399059472,2800.08611021119,2856.69632886992,2381.08223263575,791.355998550674,668.001093028252,630.428788004863,1861.68527891696,1817.49974118424,1929.49777088253
"FEK30_RS10045",48.5723198398382,53.5995953418944,55.8730649223592,138.847245134439,172.796836762942,143.08202392548,46.9754702336016,47.3888906377478,45.67142578043,149.061683320438,159.63401203448,195.888098566754
"FEK30_RS10050",630.765542364566,596.742161473091,599.131173090529,890.385508481165,816.425421402891,804.219651719078,771.48176114415,768.246823223488,720.140517216422,900.713150276688,859.695668977358,883.128844371783
"FEK30_RS10055",277.266992419077,290.86713738868,280.224910225986,675.502867201676,726.856418860632,719.357209942587,360.446396600136,348.126081223455,344.982376877176,748.479941779219,690.084531190723,683.975944162249
"FEK30_RS10060",1221.7287670826,1132.02345362081,961.876302278769,1601.15116809794,1544.86713234392,1602.51866796538,1104.82692491721,1146.44662350551,1074.90962818941,1953.65950905084,1762.62554954739,1748.30127970828
"FEK30_RS10065",3122.12078081627,2889.37551956372,2829.75584191395,3868.98950529378,3645.37913886592,3509.95006277885,2633.3364563644,2428.68064518457,2247.68659733687,4633.59828364169,4433.16954254088,4361.77499475306
"FEK30_RS10070",1042.95564544986,856.878864199084,829.500117693487,1425.93916828543,1399.02026094767,1540.3519955012,757.931144730611,827.482936520672,871.834895701422,1961.58832199342,1752.64842379523,1544.25117703458
"FEK30_RS10075",301.553152338996,303.016378999509,271.629054084085,317.365131735861,282.181990310125,228.931238280768,316.181049649242,298.914540945794,336.01120395602,244.207438631356,249.428143803876,292.199747028741
"FEK30_RS10080",9784.62398551408,10251.8159357263,11452.2591378553,11321.5602897716,11627.3247636495,10571.294636646,14071.8634582464,13340.8840393459,13532.6065709763,10305.8710627609,10126.7826384374,10171.4895180787
"FEK30_RS10085",5739.62912774089,6143.94294872354,6828.54811912649,7552.8493504083,7011.7468715825,6806.75724853767,8563.08619892904,8226.52914974902,8089.55129135866,6769.6204903718,6887.54247757102,6619.38533073489
"FEK30_RS10090",460.087807371801,392.349037902667,329.221290234824,52.8941886226435,53.8999307333947,54.2724918338028,118.342050011573,139.432697453373,136.198716166639,55.5016905980353,61.525608804956,44.0748221775196
"FEK30_RS10095",398.697792018672,390.205054088991,341.255488833486,180.721811127365,179.138005084518,239.785736647529,241.200972160993,309.850438785274,269.950748809327,229.935575334718,257.742415264005,223.638912530377
"FEK30_RS10100",906.68330367698,956.931442170621,1013.45143913018,657.871470994128,744.294631744966,869.346641919642,539.31453325885,528.568395574879,596.990779844192,941.942977578085,902.92988057003,933.733269834861
"FEK30_RS10105",2508.89524283831,2754.30453930214,2801.38951664567,1531.72754553072,1409.32465947023,1372.60065710581,3131.99914038263,2947.22446773993,2914.00007702636,1244.82363198451,1220.53505034696,1209.60900864971
"FEK30_RS10110",136.27234177288,117.204448480942,139.252869498803,945.483621629752,1242.07634498867,1383.45515547257,151.766903831636,155.836544212594,181.870141947069,1316.1829484677,1172.31227587822,1106.76775690216
"FEK30_RS10120",706.322484337648,676.784223850319,624.059155902043,218.188528068404,223.526183335549,253.600552750679,368.576766448259,394.603647041246,420.014004945025,228.349812746203,287.67379252047,202.417701852312
"FEK30_RS10125",791.998659610696,713.231948682808,588.816145720247,316.263169472889,321.021646279778,347.343947736338,484.208693177125,463.864333357954,457.52981897895,287.023028521268,312.616606900858,316.685759349586
"FEK30_RS10130",13077.4225013231,8185.01553934288,5702.4909645374,15781.2015680183,15748.2915266336,17617.8376218312,4575.59147563831,6027.50235919353,7287.03909550253,19228.9571483365,18755.3335597594,19146.4292340788
"FEK30_RS10135",26523.8597103183,26015.8142564131,25794.4451106178,4896.01833438344,5042.021461693,4497.70941415406,23034.241154161,24405.2786784401,24823.2354728383,3412.56109048492,3282.474372459,3604.34101362827
